message_size,latency,throughput,strategy
100,0,4596951.688826134,Scrooge k=5120+ resends
1000,0,1200532.7696590573,Scrooge k=5120+ resends
10000,0,122152.9109725105,Scrooge k=5120+ resends
100000,0,12261.795673733908,Scrooge k=5120+ resends
1000000,0,1281.1359859203267,Scrooge k=5120+ resends
100,0,2542434.996466552,all2all
1000,0,683436.6125446049,all2all
10000,0,70264.57310407286,all2all
100000,0,6708.346502769252,all2all
1000000,0,689.4906406577234,all2all
100,0,9361940.827101523,unfair_one2one_4
1000,0,6645302.175771791,unfair_one2one_4
10000,0,641508.3469246422,unfair_one2one_4
100000,0,67296.89533164531,unfair_one2one_4
1000000,0,9315.071858639552,unfair_one2one_4
